Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN A,Herresingle,,Håkon Skogland Halvorsen,,Amund Skavhaug,"21/13,21/15",Håkon Skogland Halvorsen,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN A,Herresingle,,Jonas Midtøy,,Sebastian Bøe,"21/9,21/19",Jonas Midtøy,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN A,Herresingle,,Julian Burkhart,,Runa Korshavn,"21/7,21/6",Julian Burkhart,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN A,Herresingle,,Rune Oterhals,,Emilie Faarup Storvik,"21/16,21/13",Rune Oterhals,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN A,Herresingle,,Bård Thrane,,Valentin Kesel,"21/16,21/10",Bård Thrane,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Bendik Brekke Thorfinnsson,,Sandeep,"21/18,21/15",Bendik Brekke Thorfinnsson,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Morten Solberg,,Akhil Anand,"21/18,21/9",Morten Solberg,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Matz Wiik,,Camilla Stokkaune,"21/16,21/15",Matz Wiik,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Ham George Varghese,,Ruben Mong,"21/15,21/13",Ham George Varghese,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Sulalit Bandyopadhyay,,Dianne Christine Geronimo,"23/21,21/13",Sulalit Bandyopadhyay,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Elias Søvik Gunnarsson,,Jonatan Smeby,"21/13,21/16",Elias Søvik Gunnarsson,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Arne Bjørn Berger,,Kasper Kvinnesland,"21/19,21/11",Arne Bjørn Berger,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Fredrik Nilssen,,Surendra Yadav,"21/13,21/13",Fredrik Nilssen,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Per Arne Aas,,Renaud Gonce,"22/20,21/14",Per Arne Aas,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Andreas Buseth,,Martin Borge Heir,"21/16,21/17",Andreas Buseth,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Sampsa Kohtala,,Mourad Touil,"21/4,21/0",Sampsa Kohtala,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Bendik Brekke Thorfinnsson,,Morten Solberg,"21/16,21/14",Bendik Brekke Thorfinnsson,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Esben Bjørkmann Pettersen,,Ruben Mong,"21/18,21/18",Esben Bjørkmann Pettersen,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Dexter Regarde,,Arne Bjørn Berger,"21/14,21/11",Dexter Regarde,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Nora Lindland,,Kasper Kvinnesland,"21/7,21/17",Nora Lindland,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Camilla Stokkaune,,Sulalit Bandyopadhyay,"21/17,21/16",Camilla Stokkaune,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Ham George Varghese,,Emma Søvik,"21/13,21/7",Ham George Varghese,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Dianne Christine Geronimo,,Sampsa Kohtala,"21/10,21/10",Dianne Christine Geronimo,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Elias Søvik Gunnarsson,,Martin Borge Heir,"21/9,21/7",Elias Søvik Gunnarsson,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Per Arne Aas,,Mourad Touil,"21/7,21/2",Per Arne Aas,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Bendik Brekke Thorfinnsson,,Ham George Varghese,"21/9,21/11",Bendik Brekke Thorfinnsson,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Akhil Anand,,Sulalit Bandyopadhyay,"21/16,21/18",Akhil Anand,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Matz Wiik,,Emma Søvik,"21/10,21/13",Matz Wiik,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Ruben Mong,,Dianne Christine Geronimo,"21/19,21/19",Ruben Mong,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN C,Herresingle,,Nora Lindland,,Fabian Statz,"21/12,21/14",Nora Lindland,
