Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2016/2017,Hamar Hamarturneringen,11.02.2017,SEN C,Herresingle,,Eivind Teigen,,Sondre Mikkelsen,"21/23,21/7,21/12",Eivind Teigen,
2016/2017,Hamar Hamarturneringen,11.02.2017,U11 B,Herresingle,,Emil Greaker Wiik,,Amund Lind,"21/18,21/13",Emil Greaker Wiik,
2016/2017,Hamar Hamarturneringen,11.02.2017,U11 B,Damesingle,,Michalina Koryl,,Wiktoria Grzegorczyk,"22/20,21/16",Michalina Koryl,
2016/2017,Hamar Hamarturneringen,11.02.2017,U11 B,Damesingle,,Sofie Jin Reistadbakk,,Diana Nieweglowska,"21/10,21/13",Sofie Jin Reistadbakk,
2016/2017,Hamar Hamarturneringen,11.02.2017,U11 B,Damesingle,,Michalina Koryl,,Diana Nieweglowska,"21/14,21/23,21/17",Michalina Koryl,
2016/2017,Hamar Hamarturneringen,11.02.2017,U11 B,Damesingle,,Wiktoria Grzegorczyk,,Diana Nieweglowska,"21/14,21/18",Wiktoria Grzegorczyk,
2016/2017,Hamar Hamarturneringen,11.02.2017,U11 B,Damesingle,,Sofie Jin Reistadbakk,,Christine Hubred,"21/6,21/11",Sofie Jin Reistadbakk,
2016/2017,Hamar Hamarturneringen,11.02.2017,U11 B,Damesingle,,Christine Hubred,,Wiktoria Grzegorczyk,"21/10,21/18",Christine Hubred,
2016/2017,Hamar Hamarturneringen,11.02.2017,U11 B,Damesingle,,Michalina Koryl,,Christine Hubred,"19/21,21/19,21/16",Michalina Koryl,
2016/2017,Hamar Hamarturneringen,11.02.2017,U11 B,Damesingle,,Sofie Jin Reistadbakk,,Wiktoria Grzegorczyk,"21/7,21/12",Sofie Jin Reistadbakk,
2016/2017,Hamar Hamarturneringen,11.02.2017,U11 B,Damesingle,,Sofie Jin Reistadbakk,,Michalina Koryl,"21/8,21/13",Sofie Jin Reistadbakk,
2016/2017,Hamar Hamarturneringen,11.02.2017,U11 B,Damesingle,,Christine Hubred,,Diana Nieweglowska,"21/18,16/21,21/18",Christine Hubred,
2016/2017,Hamar Hamarturneringen,11.02.2017,U13 B,Herresingle,,Kristoffer Fosserud,,Vegard Hansen Jøndal,"21/9,21/6",Kristoffer Fosserud,
2016/2017,Hamar Hamarturneringen,11.02.2017,U13 B,Herresingle,,Daniel Fægri,,Martin Hovig Claus,"21/12,21/5",Daniel Fægri,
2016/2017,Hamar Hamarturneringen,11.02.2017,U13 B,Herresingle,,Martin Hovig Claus,,Vegard Hansen Jøndal,"22/20,6/21,21/15",Martin Hovig Claus,
2016/2017,Hamar Hamarturneringen,11.02.2017,U13 B,Herresingle,,Kristoffer Fosserud,,Daniel Fægri,"21/9,21/6",Kristoffer Fosserud,
2016/2017,Hamar Hamarturneringen,11.02.2017,U13 B,Herresingle,,Daniel Fægri,,Vegard Hansen Jøndal,"21/18,21/16",Daniel Fægri,
2016/2017,Hamar Hamarturneringen,11.02.2017,U13 B,Herresingle,,Kristoffer Fosserud,,Martin Hovig Claus,"21/5,21/4",Kristoffer Fosserud,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 A,Herresingle,,Kasper Lie Cook,,Trym Haug,"21/7,21/18",Kasper Lie Cook,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 A,Herresingle,,Theodor Jenssen,,Hans Jørgen Berg,"21/15,21/18",Theodor Jenssen,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 A,Herresingle,,Vetle Bækkelien,,Theodor Fjelldal,"17/21,21/17,21/18",Vetle Bækkelien,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 A,Herresingle,,Vetle Bækkelien,,Trym Haug,"21/15,21/3",Vetle Bækkelien,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 A,Herresingle,,Kasper Lie Cook,,Hans Jørgen Berg,"21/23,21/15,21/13",Kasper Lie Cook,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 A,Herresingle,,Theodor Fjelldal,,Theodor Jenssen,"21/18,21/6",Theodor Fjelldal,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 A,Herresingle,,Hans Jørgen Berg,,Trym Haug,"21/7,21/10",Hans Jørgen Berg,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 A,Herresingle,,Theodor Fjelldal,,Trym Haug,"21/4,21/5",Theodor Fjelldal,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 A,Herresingle,,Vetle Bækkelien,,Hans Jørgen Berg,"21/15,21/8",Vetle Bækkelien,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 A,Herresingle,,Kasper Lie Cook,,Theodor Jenssen,"19/21,21/13,21/11",Kasper Lie Cook,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 A,Herresingle,,Vetle Bækkelien,,Theodor Jenssen,"21/16,21/11",Vetle Bækkelien,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 A,Herresingle,,Theodor Jenssen,,Trym Haug,"21/12,21/17",Theodor Jenssen,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 A,Herresingle,,Kasper Lie Cook,,Theodor Fjelldal,"21/19,28/30,21/17",Kasper Lie Cook,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 A,Herresingle,,Theodor Fjelldal,,Hans Jørgen Berg,"21/15,21/19",Theodor Fjelldal,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 A,Herresingle,,Vetle Bækkelien,,Kasper Lie Cook,"18/21,21/18,21/12",Vetle Bækkelien,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 B,Herresingle,,Jakob Grønbeck,,Benny Vu,"17/21,21/17,21/19",Jakob Grønbeck,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 B,Herresingle,,Rasmus Fægri,,Simen Hovig Claus,"21/23,22/20,21/18",Rasmus Fægri,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 B,Herresingle,,Benny Vu,,Rasmus Fægri,"21/11,21/6",Benny Vu,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 B,Herresingle,,Jakob Grønbeck,,Simen Hovig Claus,"21/3,21/5",Jakob Grønbeck,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 B,Herresingle,,Benny Vu,,Simen Hovig Claus,"21/8,21/4",Benny Vu,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 B,Herresingle,,Jakob Grønbeck,,Rasmus Fægri,"21/13,21/7",Jakob Grønbeck,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 B,Damesingle,,Thea Thorleifsen,,Anna Reistad,"21/7,21/13",Thea Thorleifsen,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 B,Damesingle,,Thea Thorleifsen,,Ane Brendsdal,"21/6,21/7",Thea Thorleifsen,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 B,Damesingle,,Anna Reistad,,Leyla Eleonora Destefanis,"21/8,21/10",Anna Reistad,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 B,Damesingle,,Thea Thorleifsen,,Zagal Tukale,"21/9,21/9",Thea Thorleifsen,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 B,Damesingle,,Leyla Eleonora Destefanis,,Zagal Tukale,"19/21,21/8,21/20",Leyla Eleonora Destefanis,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 B,Damesingle,,Thea Thorleifsen,,Anete Slisane,"21/2,21/3",Thea Thorleifsen,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 B,Damesingle,,Thea Thorleifsen,,Leyla Eleonora Destefanis,"21/4,21/7",Thea Thorleifsen,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 B,Damesingle,,Zagal Tukale,,Anete Slisane,"21/16,21/19",Zagal Tukale,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 B,Damesingle,,Leyla Eleonora Destefanis,,Anete Slisane,"21/16,21/15",Leyla Eleonora Destefanis,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 B,Damesingle,,Anna Reistad,,Ane Brendsdal,"21/5,21/10",Anna Reistad,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 B,Damesingle,,Ane Brendsdal,,Sofia Garvida,"19/21,21/19,21/19",Ane Brendsdal,
2016/2017,Hamar Hamarturneringen,11.02.2017,U15 B,Damesingle,,Anna Reistad,,Sofia Garvida,"21/5,21/6",Anna Reistad,
2016/2017,Hamar Hamarturneringen,11.02.2017,U17 B,Herresingle,,Kristian Breisjøberg Aaserud,,Simen Jessen Bjerkeli,"21/18,21/8",Kristian Breisjøberg Aaserud,
2016/2017,Hamar Hamarturneringen,11.02.2017,U17 B,Herresingle,,Kristian Breisjøberg Aaserud,,Daniel Lukas Saltvik,"21/16,21/12",Kristian Breisjøberg Aaserud,
