Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Bernard Arntsen,,Henrik Smittil Høksnes,"21/12,21/15",Bernard Arntsen,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Svein Brenna,,Henrik Smittil Høksnes,"21/16,21/18",Svein Brenna,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Kamrul Hasan,,Bernard Arntsen,"21/12,21/12",Kamrul Hasan,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Svein Brenna,,Bernard Arntsen,"21/18,21/14",Svein Brenna,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Kamrul Hasan,,Henrik Smittil Høksnes,"21/12,21/18",Kamrul Hasan,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Marius Imset,,Naruebet Buakaew,"21/7,22/20",Marius Imset,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Marius Imset,,Jon Henning Bergane,"21/12,21/10",Marius Imset,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Naruebet Buakaew,,Lars Kjørholt,"21/10,21/18",Naruebet Buakaew,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Marius Imset,,Erik Langeland,"21/10,21/8",Marius Imset,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Jon Henning Bergane,,Kamrul Hasan,"21/5,21/16",Jon Henning Bergane,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Naruebet Buakaew,,Hugo Hansen,"14/21,21/11,21/9",Naruebet Buakaew,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Lars Kjørholt,,Svein Brenna,"21/14,22/20",Lars Kjørholt,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Thomas Mortensen,,Øivind Østberg,"21/14,21/12",Thomas Mortensen,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Marius Imset,,Hugo Hansen,"21/18,21/14",Marius Imset,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Hugo Hansen,,Øivind Østberg,"21/3,21/5",Hugo Hansen,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Marius Imset,,Thomas Mortensen,"21/5,21/6",Marius Imset,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Marius Imset,,Øivind Østberg,"21/5,21/8",Marius Imset,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Hugo Hansen,,Thomas Mortensen,"21/12,21/15",Hugo Hansen,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Jon Henning Bergane,,Lars Kjørholt,"21/15,21/14",Jon Henning Bergane,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Osman Bekri Khan,,Espen Ditmansen,"21/17,18/21,22/20",Osman Bekri Khan,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Lars Kjørholt,,Osman Bekri Khan,"21/7,21/13",Lars Kjørholt,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Jon Henning Bergane,,Espen Ditmansen,"21/8,21/6",Jon Henning Bergane,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Lars Kjørholt,,Espen Ditmansen,"20/22,221/19,21/10",Lars Kjørholt,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Osman Bekri Khan,,Jon Henning Bergane,"21/6,21/16",Osman Bekri Khan,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Naruebet Buakaew,,Jørn Lindberg,"21/17,21/11",Naruebet Buakaew,
